---SECUENCIAL---
Tiempo:0.000044414	 / Tamaño Vectores:16384	/ V1[0]+V2[0]=V3[0](1.935537+20.173524=22.109061) / / V1[16383]+V2[16383]=V3[16383](1.168932+0.231537=1.400469) /
Tiempo:0.000077916	 / Tamaño Vectores:32768	/ V1[0]+V2[0]=V3[0](1.935537+20.173524=22.109061) / / V1[32767]+V2[32767]=V3[32767](0.276226+2.861802=3.138028) /
Tiempo:0.000309140	 / Tamaño Vectores:65536	/ V1[0]+V2[0]=V3[0](1.935537+20.173524=22.109061) / / V1[65535]+V2[65535]=V3[65535](0.736040+1.480129=2.216169) /
Tiempo:0.000358733	 / Tamaño Vectores:131072	/ V1[0]+V2[0]=V3[0](1.935537+20.173524=22.109061) / / V1[131071]+V2[131071]=V3[131071](0.803039+0.419154=1.222193) /
Tiempo:0.001052494	 / Tamaño Vectores:262144	/ V1[0]+V2[0]=V3[0](1.935537+20.173524=22.109061) / / V1[262143]+V2[262143]=V3[262143](0.573107+0.358414=0.931522) /
Tiempo:0.001903320	 / Tamaño Vectores:524288	/ V1[0]+V2[0]=V3[0](1.935537+20.173524=22.109061) / / V1[524287]+V2[524287]=V3[524287](0.969799+5.155268=6.125067) /
Tiempo:0.003611814	 / Tamaño Vectores:1048576	/ V1[0]+V2[0]=V3[0](1.935537+20.173524=22.109061) / / V1[1048575]+V2[1048575]=V3[1048575](1.064725+1.163102=2.227826) /
Tiempo:0.006754919	 / Tamaño Vectores:2097152	/ V1[0]+V2[0]=V3[0](1.935537+20.173524=22.109061) / / V1[2097151]+V2[2097151]=V3[2097151](0.271011+0.148490=0.419501) /
Tiempo:0.015478111	 / Tamaño Vectores:4194304	/ V1[0]+V2[0]=V3[0](1.935537+20.173524=22.109061) / / V1[4194303]+V2[4194303]=V3[4194303](1.220523+0.000233=1.220756) /
Tiempo:0.029313009	 / Tamaño Vectores:8388608	/ V1[0]+V2[0]=V3[0](0.911270+0.403272=1.314543) / / V1[8388607]+V2[8388607]=V3[8388607](1.201888+2.514269=3.716158) /
Tiempo:0.065628995	 / Tamaño Vectores:16777216	/ V1[0]+V2[0]=V3[0](0.911270+0.403272=1.314543) / / V1[16777215]+V2[16777215]=V3[16777215](0.873741+1.076060=1.949801) /
Tiempo:0.095536519	 / Tamaño Vectores:33554432	/ V1[0]+V2[0]=V3[0](2.085409+0.887054=2.972463) / / V1[33554431]+V2[33554431]=V3[33554431](0.556909+0.693072=1.249980) /
Tiempo:0.213671175	 / Tamaño Vectores:67108864	/ V1[0]+V2[0]=V3[0](2.281672+1.956482=4.238153) / / V1[67108863]+V2[67108863]=V3[67108863](4.353675+0.957028=5.310703) /
---PARALLEL FOR---
Tiempo:0.000025368	 / Tamaño Vectores:16384	/ V1[0]+V2[0]=V3[0](0.000590+7.805853=7.806443) / / V1[16383]+V2[16383]=V3[16383](0.878562+0.964254=1.842816) /
Tiempo:0.000077034	 / Tamaño Vectores:32768	/ V1[0]+V2[0]=V3[0](0.000590+7.805853=7.806443) / / V1[32767]+V2[32767]=V3[32767](1.525619+2.811043=4.336662) /
Tiempo:0.000131937	 / Tamaño Vectores:65536	/ V1[0]+V2[0]=V3[0](0.000590+7.805853=7.806443) / / V1[65535]+V2[65535]=V3[65535](0.069452+0.926320=0.995772) /
Tiempo:0.000270056	 / Tamaño Vectores:131072	/ V1[0]+V2[0]=V3[0](0.000590+7.805853=7.806443) / / V1[131071]+V2[131071]=V3[131071](0.440405+3.393528=3.833933) /
Tiempo:0.000772389	 / Tamaño Vectores:262144	/ V1[0]+V2[0]=V3[0](0.000590+7.805853=7.806443) / / V1[262143]+V2[262143]=V3[262143](5.929075+1.363869=7.292944) /
Tiempo:0.001003732	 / Tamaño Vectores:524288	/ V1[0]+V2[0]=V3[0](0.000590+7.805853=7.806443) / / V1[524287]+V2[524287]=V3[524287](643.889100+29.246778=673.135879) /
Tiempo:0.002095751	 / Tamaño Vectores:1048576	/ V1[0]+V2[0]=V3[0](0.000590+7.805853=7.806443) / / V1[1048575]+V2[1048575]=V3[1048575](0.878748+0.093714=0.972463) /
Tiempo:0.003457685	 / Tamaño Vectores:2097152	/ V1[0]+V2[0]=V3[0](0.000590+7.805853=7.806443) / / V1[2097151]+V2[2097151]=V3[2097151](2.176710+0.659434=2.836144) /
Tiempo:0.007052878	 / Tamaño Vectores:4194304	/ V1[0]+V2[0]=V3[0](0.000590+7.805853=7.806443) / / V1[4194303]+V2[4194303]=V3[4194303](0.651846+1.015743=1.667589) /
Tiempo:0.013200409	 / Tamaño Vectores:8388608	/ V1[0]+V2[0]=V3[0](0.000590+7.805853=7.806443) / / V1[8388607]+V2[8388607]=V3[8388607](5.192988+1.782849=6.975837) /
Tiempo:0.028592569	 / Tamaño Vectores:16777216	/ V1[0]+V2[0]=V3[0](0.000590+7.805853=7.806443) / / V1[16777215]+V2[16777215]=V3[16777215](1.074479+1.171146=2.245625) /
Tiempo:0.051386621	 / Tamaño Vectores:33554432	/ V1[0]+V2[0]=V3[0](0.000590+7.805853=7.806443) / / V1[33554431]+V2[33554431]=V3[33554431](0.154493+0.165579=0.320073) /
Tiempo:0.101969696	 / Tamaño Vectores:67108864	/ V1[0]+V2[0]=V3[0](0.000590+7.805853=7.806443) / / V1[67108863]+V2[67108863]=V3[67108863](0.431935+0.470623=0.902558) /
---PARALLEL SECTIONS---
Tiempo:0.000042360	 / Tamaño Vectores:16384	/ V1[0]+V2[0]=V3[0](1.450394+0.720004=2.170399) / / V1[16383]+V2[16383]=V3[16383](0.731865+0.716166=1.448031) /
Tiempo:0.000059060	 / Tamaño Vectores:32768	/ V1[0]+V2[0]=V3[0](11.353012+0.048752=11.401764) / / V1[32767]+V2[32767]=V3[32767](39.776834+0.871180=40.648015) /
Tiempo:0.000111319	 / Tamaño Vectores:65536	/ V1[0]+V2[0]=V3[0](0.000590+7.805853=7.806443) / / V1[65535]+V2[65535]=V3[65535](0.069452+0.926320=0.995772) /
Tiempo:0.000305142	 / Tamaño Vectores:131072	/ V1[0]+V2[0]=V3[0](1.450394+0.720004=2.170399) / / V1[131071]+V2[131071]=V3[131071](2.765432+0.836071=3.601502) /
Tiempo:0.000484108	 / Tamaño Vectores:262144	/ V1[0]+V2[0]=V3[0](1.450394+0.720004=2.170399) / / V1[262143]+V2[262143]=V3[262143](0.021771+1.160965=1.182737) /
Tiempo:0.001261386	 / Tamaño Vectores:524288	/ V1[0]+V2[0]=V3[0](0.401851+0.236548=0.638399) / / V1[524287]+V2[524287]=V3[524287](643.889100+29.246778=673.135879) /
Tiempo:0.001966969	 / Tamaño Vectores:1048576	/ V1[0]+V2[0]=V3[0](11.353012+0.048752=11.401764) / / V1[1048575]+V2[1048575]=V3[1048575](0.817098+0.355959=1.173057) /
Tiempo:0.003923429	 / Tamaño Vectores:2097152	/ V1[0]+V2[0]=V3[0](11.353012+0.048752=11.401764) / / V1[2097151]+V2[2097151]=V3[2097151](0.849928+1.233771=2.083699) /
Tiempo:0.007361567	 / Tamaño Vectores:4194304	/ V1[0]+V2[0]=V3[0](11.353012+0.048752=11.401764) / / V1[4194303]+V2[4194303]=V3[4194303](0.745925+10.075867=10.821792) /
Tiempo:0.013624595	 / Tamaño Vectores:8388608	/ V1[0]+V2[0]=V3[0](0.000590+7.805853=7.806443) / / V1[8388607]+V2[8388607]=V3[8388607](11.328671+1.055283=12.383954) /
Tiempo:0.027330692	 / Tamaño Vectores:16777216	/ V1[0]+V2[0]=V3[0](0.401851+0.236548=0.638399) / / V1[16777215]+V2[16777215]=V3[16777215](5.098355+1.200289=6.298644) /
Tiempo:0.057836639	 / Tamaño Vectores:33554432	/ V1[0]+V2[0]=V3[0](0.000590+7.805853=7.806443) / / V1[33554431]+V2[33554431]=V3[33554431](0.807803+1.914931=2.722733) /
Tiempo:0.103208119	 / Tamaño Vectores:67108864	/ V1[0]+V2[0]=V3[0](11.353012+0.048752=11.401764) / / V1[67108863]+V2[67108863]=V3[67108863](0.211311+1.517651=1.728963) /
